product_name,product_price,category_name,product_img,size_s,color_name
BASIC SKULLCAP BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321085_MUST_1.jpg?v=1683050161&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321085-basic-skullcap-beanie-must
BASIC SKULLCAP BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321085_GREN_1.jpg?v=1683050151&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321085-basic-skullcap-beanie-gren
HELVETICA SPORT SKULLCAP,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321101_BLAC_1_cb0ce5c7-a939-41d3-a4e7-1e82a1adae8f.jpg?v=1683148479&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321101-helvetica-sport-skullcap-blac
BASIC CUFF BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321019_HOTP_1_d5d32c99-f7e5-405d-a173-32bda56197ea.jpg?v=1683050027&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321019-basic-cuff-beanie-hotp
BASIC CUFF BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321019_YELO_1_60705767-07f9-4290-9dd5-830313570d3e.jpg?v=1683050053&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321019-basic-cuff-beanie-yelo
BASIC CUFF BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321019_SAND_1.jpg?v=1683050046&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321019-basic-cuff-beanie-sand
BASIC CUFF BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321019_GREY_1.jpg?v=1683050022&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321019-basic-cuff-beanie-grey
BASIC CUFF BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321019_BURG_1.jpg?v=1683050008&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321019-basic-cuff-beanie-burg
CROWN JACQUARD CUFF BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321159_SAGR_1.jpg?v=1683050372&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321159-crown-jacquard-cuff-beanie-sagr
CROWN JACQUARD CUFF BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321159_ORAN_1_b6849f71-8993-4129-bbdd-e56684e8cca1.jpg?v=1683050366&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321159-crown-jacquard-cuff-beanie-oran
CROWN JACQUARD CUFF BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321159_BERR_1.jpg?v=1683050352&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321159-crown-jacquard-cuff-beanie-berr
STOCK CUFF BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321020_CUMI_1_af6b884e-0bcb-4a4f-8acc-c46328c940aa.jpg?v=1683050076&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321020-stock-cuff-beanie-cumi
STOCK CUFF BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321020_GHEA_1_13a83bec-2090-454d-ab56-21468e1d3cd3.jpg?v=1683148489&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321020-stock-cuff-beanie-ghea
BIG BASIC THINSULATE BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321111_ORAN_1_04b9b5ff-4fe5-4547-b0ae-bff0114ce2a6.jpg?v=1683050222&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321111-big-basic-thinsulate-beanie-oran
